aX,aY,aZ,gX,gY,gZ
0.809,0.627,0.019,5.31,5.127,3.662
0.797,0.596,0.025,-1.465,2.014,5.737
0.79,0.605,0.009,-3.235,-3.418,8.24
0.811,0.598,0.001,-1.465,-6.348,9.949
0.81,0.587,-0.005,-2.258,-6.775,10.132
0.822,0.562,-0.003,-2.869,-7.751,10.01
0.808,0.527,0.004,-2.502,-7.874,9.766
0.8,0.523,-0.006,-3.052,-8.972,7.935
0.793,0.536,-0.045,-4.028,-9.583,5.188
0.816,0.542,-0.064,-3.113,-8.118,2.136
0.819,0.565,-0.06,-1.587,-4.211,-0.916
0.809,0.572,-0.053,-1.709,-0.122,-2.808
0.81,0.564,-0.039,-1.404,2.38,-3.845
0.791,0.577,-0.025,-1.648,4.517,-4.395
0.791,0.577,-0.022,-2.319,5.432,-4.089
0.806,0.579,-0.018,-2.502,5.371,-2.93
0.807,0.582,-0.013,-2.319,4.456,-1.953
0.812,0.584,-0.015,-2.136,2.075,-0.244
0.816,0.587,-0.022,-0.916,-0.61,1.587
0.818,0.587,-0.031,0.366,-3.113,3.662
0.815,0.584,-0.037,1.038,-4.15,5.615
0.811,0.58,-0.041,1.648,-4.089,6.958
0.814,0.575,-0.047,1.099,-2.869,6.958
0.819,0.576,-0.048,0.244,-0.671,5.737
0.818,0.578,-0.045,-0.427,1.831,4.211
0.809,0.576,-0.036,-1.099,4.15,2.38
0.805,0.575,-0.027,-1.526,5.737,0.671
0.804,0.575,-0.028,-1.343,6.348,-0.854
0.804,0.578,-0.027,-1.099,5.981,-2.014
0.805,0.581,-0.027,-0.549,5.127,-2.502
0.805,0.586,-0.028,-0.183,3.723,-2.625
0.807,0.59,-0.031,0.061,2.258,-2.38
0.808,0.594,-0.034,0.671,0.488,-1.526
0.808,0.594,-0.038,1.038,-0.549,-0.244
0.811,0.594,-0.04,1.221,-1.282,0.916
0.811,0.588,-0.042,1.343,-1.404,1.709
0.812,0.585,-0.042,0.854,-0.854,1.953
0.812,0.583,-0.043,0.427,-0.366,2.075
0.811,0.584,-0.042,-0.183,0.549,1.709
0.81,0.583,-0.04,-0.549,1.221,1.343
0.806,0.579,-0.038,-0.671,1.648,1.099
0.803,0.58,-0.037,-0.61,1.709,0.793
0.802,0.581,-0.037,-0.61,1.16,0.305
0.801,0.582,-0.038,-0.244,0.854,-0.244
0.804,0.585,-0.037,0.183,0.244,-0.732
0.806,0.586,-0.038,0.549,-0.488,-0.916
0.807,0.588,-0.036,1.038,-1.16,-0.61
0.808,0.589,-0.038,0.977,-1.526,-0.427
0.805,0.588,-0.038,0.793,-1.648,-0.183
0.802,0.585,-0.035,0.244,-1.404,0.183
0.805,0.585,-0.037,-0.122,-0.977,0.366
0.817,0.585,-0.04,-0.793,-0.61,0.549
0.82,0.588,-0.041,-1.221,-0.427,1.038
0.817,0.586,-0.041,-1.282,-0.122,1.465
0.806,0.581,-0.036,-1.343,0.244,2.014
0.806,0.579,-0.035,-1.099,0.366,2.319
0.809,0.579,-0.036,-1.221,0.183,2.319
0.81,0.579,-0.038,-1.526,0.061,2.258
0.809,0.577,-0.037,-1.465,0,2.075
0.804,0.579,-0.038,-0.977,-0.366,1.892
