aX,aY,aZ,gX,gY,gZ,gesture
0.272,-1.297,0.457,69.519,-38.818,12.39,1
0.257,-1.252,0.48,65.063,-39.307,18.494,1
0.266,-1.249,0.483,62.073,-38.452,25.94,1
0.298,-1.223,0.468,51.88,-34.729,41.26,1
0.299,-1.164,0.462,47.791,-32.959,48.157,1
0.298,-1.134,0.472,46.326,-31.189,54.138,1
0.295,-1.102,0.48,47.424,-28.931,59.082,1
0.287,-1.064,0.489,51.575,-26.306,63.477,1
0.283,-1.036,0.474,57.678,-22.278,67.627,1
0.29,-1.022,0.44,66.406,-16.968,71.96,1
0.298,-1.019,0.404,76.233,-12.085,76.233,1
0.307,-1.027,0.391,80.933,-9.827,78.796,1
0.324,-1.022,0.389,79.468,-9.766,80.139,1
0.324,-1,0.385,74.951,-11.658,79.773,1
0.338,-0.985,0.378,71.533,-13.672,79.163,1
0.332,-0.975,0.375,70.618,-15.076,78.735,1
0.319,-0.951,0.349,71.411,-15.32,78.003,1
0.335,-0.965,0.318,73.364,-15.32,77.087,1
0.346,-0.977,0.297,72.449,-16.724,76.538,1
0.36,-0.954,0.307,69.275,-19.104,75.745,1
0.362,-0.963,0.354,68.054,-21.667,74.829,1
0.376,-0.964,0.375,68.237,-23.071,73.853,1
0.375,-0.956,0.362,67.383,-23.071,72.876,1
0.387,-0.94,0.318,66.345,-22.339,72.144,1
0.396,-0.945,0.28,66.04,-21.545,72.144,1
0.416,-0.954,0.24,64.636,-22.156,71.655,1
0.426,-0.962,0.238,60.181,-23.926,70.679,1
0.414,-0.94,0.252,52.368,-26.611,70.19,1
0.406,-0.922,0.281,43.518,-29.48,69.763,1
0.398,-0.862,0.295,36.682,-30.579,68.359,1
0.385,-0.816,0.274,35.156,-29.846,68.115,1
0.377,-0.789,0.262,35.767,-28.625,67.383,1
0.373,-0.791,0.234,37.964,-27.649,67.017,1
0.402,-0.808,0.221,37.415,-26.733,67.139,1
0.408,-0.784,0.21,35.339,-26.672,65.674,1
0.415,-0.772,0.195,35.034,-26.794,62.622,1
0.423,-0.784,0.186,38.33,-25.818,62.195,1
0.424,-0.789,0.178,42.114,-23.804,62.256,1
0.429,-0.789,0.168,45.532,-21.667,60.974,1
0.429,-0.777,0.173,49.438,-20.203,58.838,1
0.421,-0.775,0.172,51.636,-18.921,56.641,1
0.429,-0.792,0.166,51.88,-18.005,54.321,1
0.436,-0.797,0.161,50.72,-18.494,51.575,1
0.439,-0.815,0.154,47.607,-18.799,49.072,1
0.461,-0.801,0.15,43.396,-19.531,46.936,1
0.465,-0.807,0.134,38.757,-21.545,45.532,1
0.468,-0.805,0.135,32.227,-24.353,43.274,1
0.46,-0.774,0.144,26.733,-26.428,40.039,1
0.463,-0.762,0.141,24.658,-27.283,37.354,1
0.472,-0.755,0.135,22.461,-27.527,34.607,1
0.469,-0.754,0.13,20.02,-27.954,30.945,1
0.475,-0.738,0.136,18.433,-28.198,27.405,1
0.472,-0.724,0.158,19.348,-27.71,25.33,1
0.462,-0.72,0.182,20.813,-26.672,23.315,1
0.466,-0.731,0.183,22.888,-25.085,21.057,1
0.489,-0.763,0.182,24.292,-23.987,19.165,1
0.497,-0.768,0.176,24.17,-22.888,16.479,1
0.504,-0.76,0.155,23.682,-22.4,14.16,1
0.5,-0.754,0.153,21.667,-21.973,12.573,1
0.495,-0.733,0.153,19.348,-21.667,9.766,1
0.523,-0.741,0.156,18.25,-21.362,8.24,1
0.524,-0.756,0.141,17.944,-21.057,6.653,1
0.531,-0.775,0.132,17.578,-20.691,5.737,1
0.533,-0.804,0.139,16.541,-20.142,4.639,1
0.542,-0.814,0.151,13.611,-18.738,2.991,1
0.533,-0.811,0.175,11.963,-17.334,2.38,1
0.531,-0.814,0.196,11.353,-15.381,2.014,1
0.533,-0.818,0.191,11.292,-12.939,2.136,1
0.536,-0.817,0.196,11.23,-10.864,2.258,1
0.538,-0.818,0.207,9.949,-9.766,2.258,1
0.537,-0.831,0.207,6.958,-9.094,1.831,1
0.549,-0.841,0.208,1.77,-9.033,1.77,1
0.558,-0.832,0.2,-4.456,-9.583,1.343,1
0.564,-0.812,0.202,-10.193,-10.62,0.732,1
0.561,-0.772,0.21,-11.597,-11.23,-0.183,1
0.55,-0.769,0.198,-8.545,-10.925,-1.282,1
0.579,-0.783,0.139,-4.395,-10.071,-2.869,1
0.604,-0.805,0.069,-0.61,-9.888,-3.418,1
0.598,-0.803,0.027,1.221,-10.437,-3.296,1
0.6,-0.809,0.019,2.502,-10.62,-3.357,1
0.588,-0.805,0.058,3.296,-11.047,-3.479,1
0.579,-0.803,0.099,5.31,-11.047,-3.601,1
0.575,-0.836,0.127,8.789,-10.132,-3.113,1
0.576,-0.86,0.153,10.742,-8.667,-1.831,1
0.586,-0.878,0.179,9.949,-7.812,-0.122,1
0.598,-0.882,0.188,7.446,-7.629,1.404,1
0.598,-0.876,0.198,4.456,-8.179,2.808,1
0.594,-0.879,0.202,2.38,-8.545,3.723,1
0.591,-0.878,0.186,1.221,-8.423,4.883,1
0.587,-0.871,0.175,1.16,-7.996,5.981,1
0.584,-0.86,0.16,1.16,-7.507,7.141,1
0.579,-0.861,0.146,0.305,-7.019,8.057,1
0.573,-0.866,0.149,-1.587,-6.287,9.033,1
0.572,-0.871,0.169,-3.967,-5.737,10.254,1
0.566,-0.869,0.187,-6.592,-5.432,10.681,1
0.558,-0.851,0.208,-8.484,-5.188,10.437,1
0.546,-0.833,0.228,-9.155,-4.15,9.949,1
0.541,-0.831,0.235,-9.155,-3.052,9.155,1
0.546,-0.834,0.224,-8.667,-1.587,8.057,1
0.548,-0.829,0.2,-8.423,0,7.202,1
0.55,-0.825,0.171,-8.24,0.854,5.981,1
0.553,-0.819,0.146,-8.362,1.404,4.822,1
0.553,-0.833,0.148,-9.277,1.709,3.662,1
0.553,-0.826,0.142,-9.766,1.77,2.869,1
0.549,-0.816,0.139,-9.338,1.587,2.319,1
0.549,-0.816,0.133,-8.606,1.587,1.709,1
0.556,-0.818,0.123,-8.362,1.343,1.343,1
0.564,-0.804,0.123,-8.606,0.671,1.343,1
0.568,-0.791,0.131,-8.179,0.061,1.16,1
0.57,-0.79,0.14,-7.324,-0.427,0.854,1
0.578,-0.783,0.145,-6.287,-0.61,0.732,1
0.582,-0.777,0.148,-5.249,-0.61,0.549,1
0.59,-0.78,0.146,-4.639,-0.427,0.488,1
0.6,-0.791,0.146,-4.15,-0.427,0.854,1
0.605,-0.786,0.159,-3.662,-0.488,1.16,1
0.606,-0.79,0.165,-2.991,-0.366,1.709,1
0.612,-0.794,0.162,-2.502,-0.488,1.709,1
0.62,-0.784,0.162,-2.319,-0.854,1.831,1
0.625,-0.787,0.18,-1.404,-0.977,1.953,1
0.431,-1.123,0.432,69.885,-51.941,48.767,1
0.42,-1.131,0.439,72.205,-48.706,51.697,1
0.426,-1.137,0.416,72.327,-45.715,55.176,1
0.42,-1.119,0.393,71.96,-43.213,59.265,1
0.413,-1.097,0.371,72.021,-40.955,63.782,1
0.414,-1.088,0.365,70.496,-39.001,66.895,1
0.413,-1.079,0.357,68.909,-37.598,69.641,1
0.408,-1.048,0.339,67.505,-36.56,72.327,1
0.419,-1.03,0.315,66.956,-35.095,73.914,1
0.418,-1.02,0.303,67.261,-33.691,73.975,1
0.405,-0.977,0.31,68.848,-32.959,72.266,1
0.395,-0.96,0.32,69.885,-31.921,71.35,1
0.386,-0.955,0.319,70.374,-30.64,70.251,1
0.392,-0.931,0.314,70.374,-29.663,69.885,1
0.395,-0.921,0.286,70.862,-29.114,70.007,1
0.387,-0.89,0.23,71.96,-28.137,70.435,1
0.381,-0.854,0.184,72.754,-27.466,70.19,1
0.376,-0.865,0.188,72.327,-29.175,69.275,1
0.374,-0.866,0.209,69.336,-29.724,68.359,1
0.388,-0.856,0.207,64.88,-30.212,67.444,1
0.384,-0.828,0.216,60.547,-30.029,67.139,1
0.375,-0.8,0.229,59.998,-29.236,67.383,1
0.369,-0.822,0.24,60.303,-28.625,66.895,1
0.37,-0.814,0.236,57.922,-28.564,66.223,1
0.374,-0.794,0.201,54.016,-28.259,65.491,1
0.393,-0.787,0.179,49.011,-28.32,64.697,1
0.387,-0.773,0.17,45.227,-28.809,63.477,1
0.387,-0.752,0.179,40.833,-29.419,61.218,1
0.392,-0.751,0.173,37.354,-29.175,59.021,1
0.408,-0.753,0.165,34.058,-28.931,56.641,1
0.399,-0.736,0.165,30.579,-29.175,53.04,1
0.395,-0.74,0.16,29.053,-28.748,49.927,1
0.416,-0.731,0.177,26.001,-27.649,46.936,1
0.41,-0.728,0.173,23.315,-27.1,43.823,1
0.417,-0.717,0.171,20.325,-26.55,40.771,1
0.424,-0.703,0.168,17.456,-25.879,37.964,1
0.425,-0.688,0.154,15.564,-25.513,34.973,1
0.436,-0.702,0.143,14.404,-25.024,31.982,1
0.444,-0.701,0.143,12.756,-24.353,29.419,1
0.448,-0.712,0.146,11.414,-24.109,27.161,1
0.456,-0.709,0.144,10.132,-23.743,25.146,1
0.466,-0.733,0.153,7.812,-23.499,23.987,1
0.469,-0.752,0.144,6.531,-23.01,22.827,1
0.48,-0.752,0.13,5.371,-22.095,20.63,1
0.483,-0.742,0.116,4.211,-21.057,18.616,1
0.496,-0.723,0.078,4.944,-19.653,16.479,1
0.502,-0.713,0.077,5.554,-18.372,14.587,1
0.512,-0.719,0.083,8.24,-16.907,13.245,1
0.531,-0.746,0.094,10.864,-14.587,11.841,1
0.551,-0.755,0.11,12.512,-12.695,10.559,1
0.557,-0.783,0.119,14.343,-11.597,10.62,1
0.577,-0.8,0.124,13.611,-11.108,9.949,1
0.58,-0.792,0.129,10.376,-10.742,8.24,1
0.578,-0.787,0.13,6.226,-10.681,7.446,1
0.574,-0.778,0.142,2.075,-10.498,6.653,1
0.583,-0.779,0.152,1.099,-10.376,5.798,1
0.573,-0.771,0.172,1.099,-10.01,4.639,1
0.564,-0.779,0.182,1.892,-9.46,3.601,1
0.573,-0.8,0.171,1.77,-8.789,2.869,1
0.586,-0.819,0.133,0,-8.484,2.441,1
0.605,-0.832,0.099,-3.113,-9.277,2.258,1
0.618,-0.825,0.068,-7.751,-10.986,2.258,1
0.634,-0.796,0.085,-12.634,-13.062,2.502,1
0.581,-0.774,0.101,-12.024,-14.465,2.93,1
0.601,-0.77,0.115,-7.507,-13.245,0.671,1
0.61,-0.785,0.111,-2.747,-11.414,-0.732,1
0.626,-0.812,0.093,0.366,-10.62,-0.732,1
